window,start_step,end_step,n,loss_mean,score_gap_mean,gap_positive_rate,score_chosen_mean,score_rejected_mean,chosen_len_mean,rejected_len_mean
first_window,0,63,64,0.74566650390625,-0.03089141845703125,0.484375,2.3315649032592773,2.36236572265625,422.8125,445.765625
last_window,960,1023,64,0.6853179931640625,0.113128662109375,0.609375,1.3140106201171875,1.20086669921875,424.390625,418.84375
overall,0,1023,1024,0.6932317018508911,0.0652620792388916,0.5498046875,0.7351691126823425,0.6699396632611752,386.7607421875,385.119140625
