selection,accuracy_percent,n,min_idx,max_idx,mean_idx,unique_prompt_n,unique_prompt_ratio,prompt_entropy,effective_prompt_n,top1_prompt_count,top10_prompt_mass,top20_prompt_mass,query_overlap_train_idx_n,query_overlap_train_idx_rate,dhash_near_train_idx_n,dhash_near_train_idx_rate,response_exact_overlap_row_n,response_exact_overlap_row_rate,chosen_len_mean,rejected_len_mean,length_gap_mean
raw_first_1024,74.6592,1024,0,1023,511.5,494,0.4824,5.3767,216.31,31,0.2666,0.415,475,0.4639,16,0.0156,4,0.0039,438.42,434.59,3.83
raw_first_4096,,4096,0,4095,2047.5,1718,0.4194,6.0099,407.43,118,0.2549,0.4026,1869,0.4563,68,0.0166,17,0.0042,429.35,428.52,0.83
strict_query_image_4096,70.1684,4096,0,7688,3820.98,2841,0.6936,7.478,1768.71,67,0.1208,0.1667,0,0.0,0,0.0,0,0.0,330.67,329.62,1.05
image_only_refined_4096,66.7201,4096,0,4163,2082.06,1714,0.4185,6.0093,407.21,121,0.2537,0.4016,1841,0.4495,0,0.0,0,0.0,430.49,429.46,1.03
promptcap50_imageonly_4096,,4096,0,5353,2365.92,2126,0.519,6.6943,807.82,50,0.1221,0.2368,1234,0.3013,0,0.0,0,0.0,393.89,393.03,0.86
promptcap50_nobench_4096,71.6921,4096,0,5273,2331.82,2132,0.5205,6.6994,811.89,50,0.1221,0.2363,1265,0.3088,62,0.0151,15,0.0037,393.58,392.17,1.41
promptcap20_imageonly_4096,68.4042,4096,0,7106,3066.23,2691,0.657,7.4568,1731.55,20,0.0488,0.0977,621,0.1516,0,0.0,0,0.0,336.79,338.08,-1.29
promptcap20_nobench_4096,60.6255,4096,0,6994,3018.26,2695,0.658,7.4581,1733.88,20,0.0488,0.0977,657,0.1604,64,0.0156,11,0.0027,336.3,337.69,-1.38
promptcap10_nobench_4096,70.7298,4096,0,7933,3618.9,3005,0.7336,7.7999,2440.44,10,0.0244,0.0488,367,0.0896,65,0.0159,9,0.0022,308.09,308.38,-0.29
