start_step,end_step,n,loss_mean,score_gap_mean,gap_positive_rate,score_chosen_mean,score_rejected_mean,chosen_len_mean,rejected_len_mean
0,63,64,0.74566650390625,-0.03089141845703125,0.484375,2.3315649032592773,2.36236572265625,422.8125,445.765625
64,127,64,0.703399658203125,0.0423736572265625,0.484375,2.1183929443359375,2.07611083984375,369.140625,370.921875
128,191,64,0.6944122314453125,0.05908203125,0.5,5.703369140625,5.644287109375,384.140625,376.078125
192,255,64,0.72247314453125,-0.019012451171875,0.515625,1.2836990356445312,1.302760124206543,400.46875,401.359375
256,319,64,0.6849365234375,0.0322418212890625,0.578125,-0.5801486968994141,-0.6123955249786377,361.875,349.734375
320,383,64,0.638336181640625,0.17083740234375,0.59375,-0.8479576110839844,-1.0187175869941711,410.375,397.984375
384,447,64,0.6732501983642578,0.20355224609375,0.578125,4.028045654296875,3.8244972229003906,415.546875,410.921875
448,511,64,0.74114990234375,-0.02913665771484375,0.5625,3.2027769088745117,3.232006072998047,378.109375,387.40625
512,575,64,0.7039794921875,-0.003345489501953125,0.515625,-0.39990234375,-0.3966045379638672,388.640625,373.375
576,639,64,0.663482666015625,0.07843017578125,0.578125,1.45172119140625,1.3733406066894531,342.0,340.203125
640,703,64,0.724700927734375,-0.034942626953125,0.46875,-2.4149169921875,-2.37994384765625,414.515625,401.8125
704,767,64,0.643890380859375,0.124755859375,0.609375,-3.913330078125,-4.0380859375,379.640625,389.984375
768,831,64,0.625213623046875,0.25687408447265625,0.625,-1.6238021850585938,-1.8806610107421875,403.25,398.0625
832,895,64,0.753631591796875,0.0252838134765625,0.5625,-0.44945526123046875,-0.47450685501098633,326.890625,337.53125
896,959,64,0.6878662109375,0.054962158203125,0.53125,0.5586385726928711,0.5037155151367188,366.375,361.921875
960,1023,64,0.6853179931640625,0.113128662109375,0.609375,1.3140106201171875,1.20086669921875,424.390625,418.84375
